Company,Symbol,Units,Unit_Price,Opening_Date,Closing_Date
Sanima Life Insurance Company Limited,SALICL,"6,000,000.00",100.0,2021-08-04,2021-08-08
Sanima Life Insurance Company Limited,SALICL,"6,000,000.00",100.00,2021-08-04,2021-08-08
Mailung Khola Jal Vidhyut Company Limited,MAILUNG,"736,286.00",100.0,2021-07-29,2021-08-02
Mailung Khola Jal Vidhyut Company Limited,MAILUNG,"736,286.00",100.0,2021-07-29,2021-08-02
Mailung Khola Jal Vidhyut Company Limited,MAILUNG,"736,286.00",100.0,2021-07-29,2021-08-02
Union Life Insurance Company Limited,ULICL,"6,450,000.00",100.0,2021-07-08,2021-07-12
Union Life Insurance Company Limited,ULICL,"6,450,000.00",100.0,2021-07-08,2021-07-12
Manakamana Smart Laghubitta Bittiya Sanstha Limited,MSBSL,"389,000.00",100.0,2021-07-01,2021-07-05
Jeevan Bikas Laghubitta Bittiya Sanstha Limited,JBLBSL,"1,977,300.00",100.0,2021-06-25,2021-06-29
Jeevan Bikas Laghubitta Bittiya Sanstha Limited,JBLBSL,"1,977,300.00",100.0,2021-06-25,2021-06-29
CEDB Hydropower Development Company Limited,CEDB,"2,518,230.00",100.0,2021-04-30,2021-05-04
CEDB Hydropower Development Company Limited,CEDB,"2,518,230.00",100.0,2021-04-30,2021-05-04
Ru Ru Jalvidut Pariyojana Limited,RJPL,"407,706.00",120.0,2021-04-02,2021-04-06
Singati Hydro Energy Limited,SHEL,"2,900,000.00",100.0,2021-03-19,2021-03-23
Jyoti Life Insurance Company Limited,JLI,"6,600,000.00",100.0,2021-03-05,2021-03-10
